title,author,isbn,category,totalCopies,availableCopies,publishedYear
King of the Vagabonds,Neal Stephenson,0060833173,Fiction,100,100,2006
Odalisque,Neal Stephenson,0060833181,Fiction,100,100,2006
Black Boy,Richard Wright,0060834005,Biography & Autobiography,100,100,2005
The Sheltering Sky,Paul Bowles,006083482X,Fiction,100,100,2005
Rat Bastards,John Shea,0060837160,Biography & Autobiography,100,100,2006
The Last Days of Henry VIII,Robert Hutchinson,0060837330,Biography & Autobiography,100,100,2005
The Thorn Birds,Colleen McCullough,0060837551,Fiction,100,100,2005
Krakatoa,Simon Winchester,0060838590,History,100,100,2005
The Professor and the Madman,Simon Winchester,0060839783,Biography & Autobiography,100,100,2005
Hit Parade,Lawrence Block,0060840889,Fiction,100,100,2006
The Curtain,Milan Kundera,0060841869,Literary Collections,100,100,2006
"A Hard Day's Write, 3e",Steve Turner,0060844094,Music,100,100,2005
"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,0060845244,Juvenile Fiction,100,100,2005
"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,0060845309,Fiction,100,100,2005
Sex with the Queen,Eleanor Herman,0060846739,History,100,100,2006
Brave New World,Aldous Huxley,0060850523,Fiction,100,100,2006
Queen of Babble,Meg Cabot,0060851988,Fiction,100,100,2006
"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,0060852550,Biography & Autobiography,100,100,2007
Good Omens,Neil Gaiman;Terry Pratchett,0060853980,Fiction,100,100,2006
Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,006085409X,Fiction,100,100,2006
Continental Drift,Russell Banks,0060854944,Fiction,100,100,2007
The Burglar Who Thought He Was Bogart,Lawrence Block,0060872799,Fiction,100,100,2006
Next,Michael Crichton,0060872985,Fiction,100,100,2006
How to Be Popular,Meg Cabot,0060880120,Juvenile Fiction,100,100,2006
The Annotated Charlotte's Web,E. B. White,0060882603,Juvenile Nonfiction,100,100,2006
Charlotte's Web: Wilbur Finds a Friend,Jennifer Frantz,0060882816,Juvenile Fiction,100,100,2006
The Autumn of the Patriarch,Gabriel Garcia Marquez,0060882867,Fiction,100,100,2006
How to Make Money Like a Porn Star,Neil Strauss;Bernard Chang,0060884053,Comics & Graphic Novels,100,100,2006
Little House in the Big Woods,Laura Ingalls Wilder,0060885378,Juvenile Fiction,100,100,2007
Farmer Boy,Laura Ingalls Wilder,0060885386,Juvenile Fiction,100,100,2006
The Long Winter,Laura Ingalls Wilder,0060885424,Juvenile Fiction,100,100,2007
Little Town on the Prairie,Laura Ingalls Wilder,0060885432,Juvenile Fiction,100,100,2007
The First Four Years,Laura Ingalls Wilder,0060885459,Juvenile Fiction,100,100,2007
The Alchemist - Gift Edition,Paulo Coelho,0060887966,Fiction,100,100,2006
